029.The	
Gift	gift
of	
Love	love
\n	
If	
I	
speak	speak
in	
the	
tongues	tongue
of	
mortals	mortal
and	
of	
angels	angel
,	
\n	
but	
do	do
not	not
have	have
love	love
,	
\n	
I	
am	be
a	
noisy	noisy
gong	gong
or	
a	
clanging	clanging
cymbal	cymbal
.	
\n	
And	
if	
I	
have	have
prophetic	prophetic
powers	power
,	
\n	
and	
understand	understand
all	
mysteries	mystery
and	
all	
knowledge	knowledge
,	
\n	
and	
if	
I	
have	have
all	
faith	faith
,	
so	so
as	
to	
remove	remove
mountains	mountain
,	
\n	
but	
do	do
not	not
have	have
love	love
,	
I	
am	be
nothing	nothing
.	
\n	
If	
I	
give	give
away	away
all	
my	
possessions	possession
,	
\n	
and	
if	
I	
hand	hand
over	
my	
body	body
so	
that	
I	
may	may
boast	boast
,	
\n	
but	
do	do
not	not
have	have
love	love
,	
I	
gain	gain
nothing	nothing
.	
\n	
Love	love
is	be
patient	patient
;	
love	
is	be
kind	kind
;	
\n	
love	love
is	be
not	not
envious	envious
or	
boastful	boastful
or	
arrogant	arrogant
or	
rude	rude
.	
\n	
It	
does	do
not	not
insist	insist
on	
its	
own	own
way	way
;	
\n	
it	
is	be
not	not
irritable	irritable
or	
resentful	resentful
;	
\n	
it	
does	do
not	not
rejoice	rejoice
in	
wrongdoing	wrongdoing
,	
\n	
but	
rejoices	
in	
the	
truth	truth
.	
It	
bears	bear
all	
things	thing
,	
\n	
believes	believe
all	
things	thing
hopes	hop
all	
things	thing
,	
endures	endure
all	
things	thing
.	
\n	
Love	love
never	never
ends	end
.	
\n	
But	
as	
for	
prophecies	prophecy
,	
they	
will	will
come	come
to	
an	
end	end
;	
\n	
as	
for	
tongues	tongue
,	
they	
will	will
cease	cease
;	
\n	
as	
for	
knowledge	knowledge
,	
it	
will	will
come	come
to	
an	
end	end
.	
\n	
For	
we	
know	know
only	only
in	
part	part
,	
and	
we	
prophesy	prophesy
only	only
in	
part	part
;	
\n	
but	
when	when
the	
complete	complete
comes	come
,	
the	
partial	partial
will	will
come	come
to	
an	
end	end
.	
\n	
When	when
I	
was	be
a	
child	child
,	
I	
thought	think
like	
a	
child	child
;	
\n	
when	when
I	
became	become
an	
adult	adult
,	
I	
put	put
an	
end	end
to	
childish	childish
ways	way
.	
\n	
For	
now	now
we	
see	see
in	
a	
mirror	mirror
,	
dimly	dimly
,	
\n	
but	
then	then
we	
will	will
see	see
face	face
to	
face	face
.	
\n	
Now	now
I	
know	know
only	only
in	
part	part
;	
\n	
then	then
I	
will	will
know	know
fully	fully
,	
even	even
as	
I	
have	have
been	be
fully	fully
known	know
.	
\n	
And	
now	now
faith	faith
,	
hope	hope
,	
and	
love	love
abide	abide
,	
these	
three	
;	
\n	
and	
the	
greatest	great
of	
these	
is	be
love	love
.	
\n	
